Mkt-RF,SP500,VIXCLS,DEXJPUS,NIKKEI225,T10Y3M,ads_index,open,high,low,close
1.23,2991.77,28.01,107.64,21271.17,0.55,8.02679,78.89243197233849,79.07289450472064,77.18533143506995,77.24142456054688
1.54,3036.13,27.62,107.79,21419.23,0.53,8.29215,77.09754503838927,77.72428918154347,76.35373244533048,77.57796478271484
-0.41,3029.73,28.59,107.67,21916.31,0.55,8.5201,77.25117381725487,78.87780002724944,76.97316417209834,77.61210632324219
0.6,3044.31,27.51,107.77,21877.89,0.51,8.71071,77.85599304965379,78.31934751041831,77.1780304321472,77.5365219116211
0.52,3055.73,28.23,107.56,22062.39,0.52,9.06893,77.49017653543903,78.61198703119204,77.35848382898224,78.49005126953125
0.81,3080.82,26.84,108.6,22325.61,0.53,9.1483,78.2217976669635,78.87781271511726,77.77794967111804,78.85342407226562
1.41,3122.87,25.66,108.88,22613.76,0.61,9.21839,79.17533490860136,79.55089916330148,78.59979420533908,79.28751373291016
-0.34,3112.35,25.81,109.0,22695.74,0.67,9.27923,79.1094758020225,79.40943297004752,78.22909585767,78.60466003417969
2.5,3193.93,24.52,109.68,22863.73,0.76,9.33083,78.85584044822619,80.90435928528845,78.82657706292576,80.84339141845703
1.39,3232.39,25.81,108.46,23178.1,0.71,9.42864,80.53857037003549,81.3555414595375,79.82402859470741,81.32139587402344
-0.85,3207.18,27.57,107.66,23091.03,0.65,9.43993,80.99947970822647,84.28442151143871,80.96777522396405,83.88935089111328
-0.56,3190.14,27.57,107.25,23124.95,0.58,9.44028,84.84288178092423,86.51827756646281,84.40147502156331,86.047607421875
-5.91,3002.1,40.79,106.67,22472.91,0.49,9.42968,85.18676087897937,85.61353604310334,81.81402099943021,81.91644287109375
1.29,3041.31,36.09,107.36,22305.48,0.55,9.40814,84.06738747407822,84.81850845246275,81.50673661148821,82.62366485595703
1.1,3066.59,34.4,107.33,21530.95,0.53,9.28193,81.27018626542562,84.30150755586408,81.10678906790932,83.64549255371094
1.87,3124.74,33.67,107.35,22582.21,0.58,9.22487,85.71107503118571,86.1354165006344,84.0673835080161,85.86227416992188
-0.4,3113.49,33.47,107.26,22455.76,0.57,9.161,86.61095685909852,86.67192473066517,85.62083922024561,85.7427749633789
0.19,3115.34,32.94,106.78,22355.46,0.55,9.09027,85.69889109071484,86.19639107163026,85.1648118705486,85.77693176269531
-0.45,3097.74,35.12,106.89,22478.79,0.55,9.01266,86.48660971869883,86.9548389251009,84.17226365763699,85.28675842285156
0.71,3117.86,31.77,106.84,22437.27,0.55,8.73747,85.68180598873323,87.66204124094521,85.63546981154975,87.51815795898438
0.42,3131.29,31.37,106.44,22549.05,0.56,8.63049,88.76923580330637,90.8128803897768,88.34733538246111,89.38623046875
-2.61,3050.33,33.84,106.83,22534.32,0.54,8.51568,89.01310604803379,89.93738120565594,87.43281589702434,87.80838012695312
1.12,3083.76,32.22,107.21,22259.79,0.52,8.39301,87.96445119840132,89.0130956496558,87.20113222848988,88.97407531738281
-2.44,3009.05,34.73,107.19,22512.08,0.5,8.26242,88.86922249830896,89.09114647709539,86.0915222818529,86.24028778076172
1.51,3053.24,31.78,107.71,21995.04,0.5,7.82193,86.14760542917317,88.32294243468027,85.66717828732993,88.22782897949219
1.58,3100.29,30.43,107.77,22288.14,0.5,7.65775,87.81323605094023,89.25208368451845,87.79372960789094,88.96430969238281
0.41,3115.86,28.62,107.5,22121.73,0.55,7.48468,89.0423636295286,89.5886334247826,88.74728118931024,88.79605102539062
0.5,3130.01,27.68,107.55,22145.96,0.54,7.31733,89.70813552427025,90.34707768315508,88.68143856153624,88.79605102539062
1.65,3179.72,27.94,107.5,22714.44,0.54,6.7076,90.23247214745544,91.64204938763176,90.20076765565165,91.17137908935548
-1.03,3145.32,29.43,107.53,22614.69,0.5,6.57554,91.55179662949126,92.33462202575382,90.77628708020808,90.88846588134766
0.91,3169.94,28.08,107.39,22438.65,0.52,6.45267,91.87127847186058,93.03698402910456,91.78348085543212,93.00527954101562
-0.53,3152.05,29.26,107.27,22529.29,0.49,6.33894,93.90272784365447,93.9563798769174,92.35170851501992,93.40523529052734
