Date,ADS_Index
1962:04:22,0.537507
1962:04:23,0.506075
1962:04:24,0.472633
1962:04:25,0.437168
1962:04:26,0.399667
1962:04:27,0.360115
1962:04:28,0.318496
1962:04:29,0.274793
1962:04:30,0.22899
1962:05:01,0.181069
1962:05:02,0.134886
1962:05:03,0.090423
1962:05:04,0.0476627
1962:05:05,0.00658814
1962:05:06,-0.0328168
1962:05:07,-0.0705676
1962:05:08,-0.106679
1962:05:09,-0.141165
1962:05:10,-0.17404
1962:05:11,-0.205317
1962:05:12,-0.235007
1962:05:13,-0.263122
1962:05:14,-0.289674
1962:05:15,-0.314673
1962:05:16,-0.338129
1962:05:17,-0.36005
1962:05:18,-0.380446
1962:05:19,-0.399325
1962:05:20,-0.416694
1962:05:21,-0.432559
1962:05:22,-0.446928
1962:05:23,-0.459806
1962:05:24,-0.471197
1962:05:25,-0.481107
1962:05:26,-0.489538
1962:05:27,-0.496496
1962:05:28,-0.501981
1962:05:29,-0.505998
1962:05:30,-0.508546
1962:05:31,-0.509627
1962:06:01,-0.509241
1962:06:02,-0.507613
1962:06:03,-0.504743
1962:06:04,-0.500628
1962:06:05,-0.495268
1962:06:06,-0.48866
1962:06:07,-0.480802
1962:06:08,-0.47169
1962:06:09,-0.461321
1962:06:10,-0.449691
1962:06:11,-0.436796
1962:06:12,-0.42263
1962:06:13,-0.407187
1962:06:14,-0.390462
1962:06:15,-0.372448
1962:06:16,-0.353138
1962:06:17,-0.332525
1962:06:18,-0.3106
1962:06:19,-0.287354
1962:06:20,-0.262779
1962:06:21,-0.236864
1962:06:22,-0.209601
1962:06:23,-0.180977
1962:06:24,-0.150982
1962:06:25,-0.119603
1962:06:26,-0.0868294
1962:06:27,-0.0526471
1962:06:28,-0.017043
1962:06:29,0.0199969
1962:06:30,0.0584873
1962:07:01,0.0984432
1962:07:02,0.136356
1962:07:03,0.172242
1962:07:04,0.206113
1962:07:05,0.237985
1962:07:06,0.267868
1962:07:07,0.295776
1962:07:08,0.321718
1962:07:09,0.345705
1962:07:10,0.367747
1962:07:11,0.387852
1962:07:12,0.406028
1962:07:13,0.422283
1962:07:14,0.436622
1962:07:15,0.449052
1962:07:16,0.459576
1962:07:17,0.4682
1962:07:18,0.474927
1962:07:19,0.479759
1962:07:20,0.482698
1962:07:21,0.483746
1962:07:22,0.482903
1962:07:23,0.480168
1962:07:24,0.47554
1962:07:25,0.469018
1962:07:26,0.460599
1962:07:27,0.45028
1962:07:28,0.438057
1962:07:29,0.423924
1962:07:30,0.407877
1962:07:31,0.389909
1962:08:01,0.370012
1962:08:02,0.351237
1962:08:03,0.333574
